,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@ggreenwald Is it just one judge?,12479,1511,2023-01-14 09:44:55+00:00
1,elonmusk,"Good assessment of our goal
https://t.co/13GpEZlu0Z",36646,4216,2023-01-14 08:54:48+00:00
2,elonmusk,@ScottAdamsSays If not perhaps 30,22860,1042,2023-01-14 05:44:54+00:00
3,elonmusk,@FoundersPodcast Yup,4634,236,2023-01-14 04:57:41+00:00
4,elonmusk,deamplify means shadowban https://t.co/oCLSupDM3M,43618,9298,2023-01-14 04:43:43+00:00
5,elonmusk,"The higher the rates, the harder the fall",27896,2193,2023-01-14 04:38:32+00:00
6,elonmusk,@ggreenwald This is extremely concerning,32558,3348,2023-01-14 04:32:11+00:00
7,elonmusk,"@jxeral Ironically, the company that made the first commercially viable internal combustion engine car saved the company that made the first commercially viable electric car!",7775,559,2023-01-14 03:56:40+00:00
8,elonmusk,"@jxeral True, the Daimler investment in 2009 is actually what saved Tesla",10141,350,2023-01-14 03:55:16+00:00
9,elonmusk,@HistoryBoomer That’s what she said,14804,605,2023-01-14 03:45:57+00:00
10,elonmusk,I wonder what would have happened in 2009 if the Fed had raised rates instead of lowering them 🤔 https://t.co/uDGUqg4GKq,64635,6753,2023-01-14 03:43:12+00:00
11,elonmusk,"@ScottAdamsSays Easier to argue that global warming is a risk (rather than a certainty), but it is foolish to roll those dice, given that we will eventually run out of fossil fuels and have to generate energy sustainably anyway.",33862,2648,2023-01-14 03:31:26+00:00
12,elonmusk,@skorusARK There will probably be far more robots than humans in the future,35635,3282,2023-01-14 03:24:37+00:00
13,elonmusk,@WaltDisneyWorld This looks cool!,5466,408,2023-01-14 03:23:01+00:00
14,elonmusk,@ggreenwald Please post what you received on Twitter,62899,5612,2023-01-13 21:55:24+00:00
15,elonmusk,"Twitter will publish tweet recommendation code &amp; make account/tweet status visible no later than next month.

Transparency builds trust.",135956,14012,2023-01-13 20:26:32+00:00
16,elonmusk,@BillyM2k 💯,5375,270,2023-01-13 20:11:10+00:00
17,elonmusk,@MarceloPLima They will be,4235,149,2023-01-13 16:49:47+00:00
18,elonmusk,@nathan_garner_ Yes,6594,236,2023-01-13 16:17:48+00:00
19,elonmusk,virtue rises with the sun,170578,14875,2023-01-13 16:14:52+00:00
20,elonmusk,@patrickbetdavid @joerogan @BretWeinstein Great clip!,21873,1122,2023-01-13 15:29:53+00:00
21,elonmusk,"Bookmark button moving to tweet details page, fixing image length crop &amp; other minor bug fixes next week",112388,8634,2023-01-13 14:06:46+00:00
22,elonmusk,@MichaelPSenger @DrJBhattacharya Precisely,26781,1527,2023-01-13 02:01:58+00:00
23,elonmusk,@SpaceX @Space_Station Much higher dynamic range camera needed to see the stars!,34106,1802,2023-01-13 01:40:32+00:00
24,elonmusk,@JohnnaCrider1 Few realize this consciously,7366,447,2023-01-12 22:54:01+00:00
25,elonmusk,@neontaster Resistance is futile,15425,649,2023-01-12 17:26:24+00:00
26,elonmusk,@NASASpaceflight That’s a good guess,7278,303,2023-01-12 16:53:57+00:00
27,elonmusk,@MuskUniversity Exactly,17357,659,2023-01-12 15:09:37+00:00
28,elonmusk,@weirdterrifying Ancient Egypt was 🔥🔥,71354,4323,2023-01-12 15:08:16+00:00
29,elonmusk,@johnkrausphotos @lexfridman @MrBeast Ok,3415,115,2023-01-12 14:41:15+00:00
30,elonmusk,@LuehWai @JamesMelville Maiden America?,6504,324,2023-01-12 14:31:21+00:00
31,elonmusk,@JamesMelville Sigh,43250,1632,2023-01-12 14:30:34+00:00
32,elonmusk,Starship launch attempt soon https://t.co/QBprVsAH7m,318104,25724,2023-01-12 14:05:12+00:00
33,elonmusk,@LucasFoxNews No kidding …,13549,646,2023-01-12 14:01:00+00:00
34,elonmusk,@Snowden Most people have no idea that Reality Winner is a real person. Fate 🖤 irony.,27288,1734,2023-01-12 06:38:15+00:00
35,elonmusk,@TheRabbitHole84 @WallStreetSilv Maybe we should spend less time on social media … ?,9931,729,2023-01-12 06:06:34+00:00
36,elonmusk,@Tesmanian_com Starlink in aircraft feels the same as a high speed connection on the ground,17945,1072,2023-01-12 06:04:50+00:00
37,elonmusk,@WallStreetSilv Demolition Man movie is becoming real,45101,3441,2023-01-12 01:52:38+00:00
38,elonmusk,@ShellenbergerMD Constitutional violation,80000,8203,2023-01-12 01:12:43+00:00
39,elonmusk,@WillManidis This a major problem. Adderall is just low-grade speed &amp; greatly amplifies your inner a**hole!,8796,708,2023-01-12 00:46:31+00:00
40,elonmusk,@DrJBhattacharya This problem is extremely prevalent in academia,12738,979,2023-01-11 23:59:46+00:00
41,elonmusk,"@EvaFoxU Please be cautious about writing articles citing “unnamed sources”, as they are frequently false",33406,2415,2023-01-11 21:02:51+00:00
42,elonmusk,@SawyerMerritt @Tesla Great work by Tesla Team!,61623,2388,2023-01-11 21:01:24+00:00
43,elonmusk,@WOLF_Financial 🤣,6998,263,2023-01-11 19:47:29+00:00
44,elonmusk,@BillyM2k 🎯,15180,523,2023-01-11 19:46:58+00:00
45,elonmusk,@tyromper 💯,10426,314,2023-01-11 19:06:36+00:00
46,elonmusk,Some things that your party tells you are false and some things that the other party says are true,309707,26584,2023-01-11 19:01:29+00:00
47,elonmusk,"@slashdot This seems extortionately high. It also isn’t clear whether, all things considered, a second booster helps or hurts.",52459,4831,2023-01-11 18:59:40+00:00
48,elonmusk,@stillgray Good question,72216,2578,2023-01-11 14:51:19+00:00
49,elonmusk,"@cb_doge Yes, I don’t like it either.",37190,1096,2023-01-11 13:27:36+00:00
50,elonmusk,All four orbital launch pads fully loaded with rockets for the first time! https://t.co/EXlB0p5vWN,91837,7714,2023-01-10 06:36:19+00:00
51,elonmusk,@mtaibbi Exactly,32651,2339,2023-01-10 02:18:10+00:00
52,elonmusk,@TrungTPhan That is dedication,28781,975,2023-01-09 20:26:23+00:00
53,elonmusk,@BillyM2k We will strive to increase the joy of Twitter!,59394,2692,2023-01-09 20:15:54+00:00
54,elonmusk,@ggreenwald Tragic,74851,3366,2023-01-09 17:48:50+00:00
55,elonmusk,@paulg New UI coming this week allowing easy switch between recommended &amp; followed. Recommendations will get much better later this year.,14864,770,2023-01-09 16:27:31+00:00
56,elonmusk,@ggreenwald True,9431,848,2023-01-09 16:25:55+00:00
57,elonmusk,@MuskUniversity This is the foundation of my philosophy,19496,954,2023-01-09 16:14:21+00:00
58,elonmusk,@greg16676935420 Any minute now …,96077,2767,2023-01-09 06:20:25+00:00
59,elonmusk,@RGVaerialphotos @indnstar @Thomaseo01 @JaxLR07 @CSI_Starbase @RLT_Spaceflight @DeffGeff @TekG33k @BingoBoca @MrPleasantRS @rocketjunkie94 Massey’s gun range is being turned into a rocket test facility. Perfect match.,7561,443,2023-01-09 04:55:36+00:00
60,elonmusk,@IMAO_ @neontaster Agreed,3623,169,2023-01-09 01:23:27+00:00
61,elonmusk,"@neontaster We will also be adding simple formatting features like bold, underline &amp; font size later this quarter. 

The goal is to allow people to publish long-form natively on Twitter, rather than forcing them to use another website.

Twitter will continue to recommend brevity in tweets.",6915,751,2023-01-09 01:20:11+00:00
62,elonmusk,"@neontaster Yes, these will get the same Timeline screen space as other tweets, but you will be able to click for more",15485,869,2023-01-09 01:16:58+00:00
63,elonmusk,I hope that the people of Brazil are able to resolve matters peacefully,401767,26216,2023-01-08 23:29:31+00:00
64,elonmusk,(Chart by James Stephenson) https://t.co/rOHfjXGVmU,85682,8210,2023-01-08 22:23:42+00:00
65,elonmusk,@TrungTPhan 🔥🤣,11211,360,2023-01-08 22:13:17+00:00
66,elonmusk,@micsolana Step up your game 🤣🤣,22702,785,2023-01-08 22:12:13+00:00
67,elonmusk,"Easy swipe right/left to move between recommended vs followed tweets rolls out later this week.

First part of a much larger UI overhaul.

Bookmark button (de facto silent like) on Tweet details rolls out a week later.

Long form tweets early Feb.",168529,13688,2023-01-08 03:48:20+00:00
68,elonmusk,@WholeMarsBlog We have a real shot at late February.  March launch attempt appears highly likely.,19176,1416,2023-01-08 03:41:19+00:00
69,elonmusk,@DavidSacks It will go lower,42510,1599,2023-01-08 03:05:50+00:00
70,elonmusk,@PeterDiamandis Risky Business (great movie),14234,706,2023-01-08 01:05:44+00:00
71,elonmusk,@BillyM2k 🤣,16866,475,2023-01-08 01:00:56+00:00
72,elonmusk,@TheBabylonBee 🤣,17088,611,2023-01-07 22:58:44+00:00
73,elonmusk,@SamTwits @CommunityNotes,7796,389,2023-01-07 22:57:54+00:00
74,elonmusk,@TheRabbitHole84 👀,9344,369,2023-01-07 22:57:11+00:00
75,elonmusk,@NASASpaceflight It’s amazing to see them work in unison – so much has to go right for that to happen!,11117,521,2023-01-07 22:56:47+00:00
76,elonmusk,"@engineers_feed Lol no, Newton’s Third Law",126835,4037,2023-01-07 22:54:58+00:00
77,elonmusk,Plaid is sickkk https://t.co/OxBD8Zv7Xq,84119,5564,2023-01-07 22:50:40+00:00
78,elonmusk,@Jason The mind virus is strong in the Bay Area,72075,4244,2023-01-07 22:48:48+00:00
79,elonmusk,@mayemusk @CBSNews @Twitter The fake emerald mine thing is so annoying (sigh). Like where exactly is this thing anyway!?,37696,2555,2023-01-07 22:45:11+00:00
80,elonmusk,@WholeMarsBlog Looks like V11.3 will be ready for wide release in about 2 weeks. Many major improvements.,26730,1824,2023-01-07 18:10:04+00:00
81,elonmusk,@TrungTPhan !,3726,178,2023-01-07 17:23:08+00:00
82,elonmusk,@MuskUniversity Happy days tbh,33722,1101,2023-01-07 17:21:08+00:00
83,elonmusk,@paulg True,6539,305,2023-01-07 16:57:25+00:00
84,elonmusk,Thread on how safe Tesla cars are https://t.co/M3Hf3q4kh3,51554,4895,2023-01-07 16:56:11+00:00
85,elonmusk,@paulg People on Twitter should like more tweets in general!,87547,2677,2023-01-07 15:58:31+00:00
86,elonmusk,@BillyM2k @KevinChunilal Nice,3078,164,2023-01-07 11:16:37+00:00
87,elonmusk,@WholeMarsBlog @ValerianIlies People still don’t get it,8812,639,2023-01-07 10:40:37+00:00
88,elonmusk,@_TheRealTony3_ @MercedesBenz @Tesla @SawyerMerritt Good for them,22633,682,2023-01-07 10:38:05+00:00
89,elonmusk,"@RichardGarriott Tanks are a deathtrap now. With neither side having air superiority, you’re left with infantry &amp; artillery – essentially WW1.",22812,1312,2023-01-07 10:23:33+00:00
90,elonmusk,@BillyM2k 🤣,67663,1612,2023-01-07 10:18:06+00:00
91,elonmusk,@TheRabbitHole84 An actual Jurassic Park would be awesome,16620,800,2023-01-06 18:46:13+00:00
92,elonmusk,(JCO was joking btw),71706,2239,2023-01-06 18:35:24+00:00
93,elonmusk,8 years later &amp; still no laws … 😢 https://t.co/9fjb24XvFG,405827,31262,2023-01-06 18:05:15+00:00
94,elonmusk,@TheBabylonBee 🤣,40254,1249,2023-01-06 17:55:18+00:00
95,elonmusk,@pmarca Twitter has at least 10 million Wokeys,41170,2487,2023-01-06 09:47:24+00:00
96,elonmusk,@hodgetwins Looking into it,47773,1842,2023-01-06 09:03:49+00:00
97,elonmusk,@laralogan This demands an explanation,11649,1475,2023-01-06 01:06:53+00:00
98,elonmusk,"@HowThingsWork_ The Drone Wars are already a big deal, but we ain’t seen nothing yet …",41165,2244,2023-01-06 00:01:48+00:00
99,elonmusk,"If I dig my grave deep enough, maybe it comes out other side of Earth 🤔",336654,21176,2023-01-05 23:43:43+00:00
100,elonmusk,@RenataKonkoly Great advice! 🤣🤣,8195,318,2023-01-05 23:41:23+00:00
101,elonmusk,Some habits are hard to break lol.  Maybe I should just get bulletproof shoes … https://t.co/8Ve7it6X0T,99186,6273,2023-01-05 23:37:53+00:00
102,elonmusk,@lrocket Hi Tom!,15665,450,2023-01-05 23:15:22+00:00
103,elonmusk,@Hitch_Slapping @DrJBhattacharya True,12772,542,2023-01-05 23:11:31+00:00
104,elonmusk,Ouch my feet!! https://t.co/4pqBY6rZDu,86107,4831,2023-01-05 21:27:32+00:00
105,elonmusk,@cb_doge @MrAndyNgo @josephmenn @ExplainThisBob Will do. He is a good bot.,4494,252,2023-01-05 21:24:28+00:00
106,elonmusk,@MrAndyNgo @josephmenn Joseph Menn is a contemptible liar. Twitter policy has always been to suspend accounts that clearly &amp; repeatedly incite violence.,25542,2403,2023-01-05 21:20:58+00:00
107,elonmusk,@jonastyle_ Journalists should do shots every time there is a negative article about me …,52349,2641,2023-01-05 16:57:43+00:00
108,elonmusk,Elon Musk should,135956,10612,2023-01-05 16:22:25+00:00
109,elonmusk,"Subtle, but I am beginning to suspect opinions differ on this matter …

If not McCarthy, then seriously who?",61950,3766,2023-01-05 16:19:29+00:00
110,elonmusk,@ChrisJBakke 🤣,6144,167,2023-01-05 16:14:22+00:00
111,elonmusk,Sped up trip there &amp; back again https://t.co/h9z4vt7kER,195363,20668,2023-01-05 16:12:24+00:00
112,elonmusk,@tomselliott 🤣🤣,12394,503,2023-01-05 11:15:29+00:00
113,elonmusk,"@heliobeltrao @Rconstantino @rothbard_brasil If it is ordered by the court, do we have any choice?",3720,317,2023-01-05 10:25:34+00:00
114,elonmusk,Kevin McCarthy should be Speaker,167196,11884,2023-01-05 10:23:53+00:00
115,elonmusk,@pmarca 🤦‍♂️,7469,327,2023-01-05 09:09:57+00:00
116,elonmusk,@MuskUniversity Necessary to make life multiplanetary,25673,1505,2023-01-05 06:44:15+00:00
117,elonmusk,@pmarca It’s a new world. Goodbye homework!,76245,4219,2023-01-05 04:03:54+00:00
118,elonmusk,@CathieDWood Wow,25818,1051,2023-01-05 03:56:02+00:00
